Application,File,RoutePage,Component,String,StringType,CurrentSource,ExistingLocalizationKey,RequiredAction
"apps/web","Frontend/apps/web/src/app/(dashboard)/activities/activities-app.js","","","Name is required","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/activities/activities-app.js","","","Activity deleted","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/activities/activities-app.js","","","Select at least one day","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/activities/activities-app.js","","","Start and end time required","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/activities/activities-app.js","","","Schedule added","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/activities/activities-app.js","","","Schedule removed","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/attendance-app.js","","","Select a reason (1–4)","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/attendance-app.js","","","Notes are required for ""Other"" / الملاحظات مطلوبة لـ «أخرى»","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/index.html","","","Ready to check in","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/index.html","","","Scan a member card — or search below","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/index.html","","","Scanner · Enter","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/index.html","","","USB scanner types MemberNumber then Enter","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/index.html","","","Checking in…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/index.html","","","Manual search","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/attendance/index.html","","","Fallback","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/call-sheet-app.js","","","Outcome recorded","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/call-sheet-app.js","","","Follow-up completed","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/call-sheet-app.js","","","Select a member","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/call-sheet-app.js","","","Follow-up added","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/index.html","","","Front desk","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/index.html","","","Call Sheet","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/index.html","","","Call Sheet","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/index.html","","","Stay on top of today","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/call-sheet/index.html","","","Add Follow-up","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/classes/classes-app.js","","","Invoice view is not available on this page.","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/classes/classes-app.js","","","Could not load this invoice.","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/classes/classes-app.js","","","Print failed — wait for the invoice to load.","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/classes/classes-app.js","","","Member booked using membership credit — no invoice and no cash movement (no payment was taken).","A","toast","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","HR","B","data-en","","leave-technical"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Attendance","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Access Restricted","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Attendance is not available for your role.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Back to Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Attendance","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Check employees in and out, and review their working hours.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Select employee to check in…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Check In","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Today","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","This week","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Custom","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","All employees","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","All statuses","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Present","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Late","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Absent","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Half day","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","On leave","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Loading…","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Correct attendance","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Status","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Present","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Late","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Absent","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Half day","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","On leave","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Check-in (local)","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Check-out (local)","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Notes","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Cancel","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/attendance/index.html","","","Save","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/dashboard/index.html","","","HR","B","data-en","","leave-technical"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/dashboard/index.html","","","Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/dashboard/index.html","","","Access Restricted","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/dashboard/index.html","","","The HR dashboard is not available for your role.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/dashboard/index.html","","","Back to Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/dashboard/index.html","","","HR Dashboard","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/dashboard/index.html","","","Today, at a glance — every number below is live.","A","data-en","","localize"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","HR","B","data-en","","leave-technical"
"apps/web","Frontend/apps/web/src/app/(dashboard)/hr/departments/index.html","","","Departments","A","data-en","","localize"
